recoil_energy,scintillation_light,ionization_charge,s1_s2_ratio,pulse_shape,position,time_of_event,particle_type
2.114826134907354,1.8336,1.5018,1.2209,0.6044,"{'x': np.float64(-3.84928368593685), 'y': np.float64(6.08198011206375), 'z': np.float64(6.318903301986367)}",2025-10-11T02:42:57.319069,Axion-like
2.4661620715331014,2.4336,2.0593,1.1818,0.4329,"{'x': np.float64(7.1558071200939075), 'y': np.float64(7.955184987399566), 'z': np.float64(-9.742154525035867)}",2025-10-11T02:42:57.320079,Background
2.3279644695571364,1.9907,1.6755,1.1881,0.6331,"{'x': np.float64(-7.437350385270798), 'y': np.float64(-1.8690551886843103), 'z': np.float64(1.5086931543987436)}",2025-10-11T02:42:57.320079,Axion-like
3.2729479473331353,3.4881,2.0916,1.6677,0.4499,"{'x': np.float64(-0.20816335221627114), 'y': np.float64(4.323982511442663), 'z': np.float64(3.3080933979098788)}",2025-10-11T02:42:57.320079,Background
7.634308959992507,8.0352,7.3464,1.0938,0.6005,"{'x': np.float64(-0.22745100523041017), 'y': np.float64(-4.405269837612131), 'z': np.float64(1.532173439292281)}",2025-10-11T02:42:57.321065,WIMP-like
2.2447179411265337,2.5805,2.2545,1.1446,0.5301,"{'x': np.float64(-6.142232014224405), 'y': np.float64(-5.602620038797273), 'z': np.float64(5.349762683979485)}",2025-10-11T02:42:57.321065,Background
6.4436654349348075,7.2364,4.8631,1.488,0.4324,"{'x': np.float64(2.200949617002191), 'y': np.float64(1.373979967107422), 'z': np.float64(-0.8154373208055041)}",2025-10-11T02:42:57.321065,Axion-like
5.718199348115047,6.4144,6.1468,1.0435,0.4658,"{'x': np.float64(-0.766126435958876), 'y': np.float64(6.4905956904317605), 'z': np.float64(-9.25780962187332)}",2025-10-11T02:42:57.321065,Background
3.7505721558733778,4.2458,4.0137,1.0578,0.4853,"{'x': np.float64(-1.1567363598200444), 'y': np.float64(0.9797345519298801), 'z': np.float64(8.653396525131424)}",2025-10-11T02:42:57.321065,Axion-like
2.4568885039454114,2.1053,2.3412,0.8992,0.4211,"{'x': np.float64(-9.357501053627997), 'y': np.float64(-6.695240186785194), 'z': np.float64(-9.70977368950628)}",2025-10-11T02:42:57.321065,Background
3.34482071804883,3.8162,2.9463,1.2953,0.3274,"{'x': np.float64(1.9779633194436705), 'y': np.float64(-3.6356588829849956), 'z': np.float64(0.7810893034086934)}",2025-10-11T02:42:57.321065,Background
4.933784897893432,4.9303,3.8952,1.2657,0.5439,"{'x': np.float64(8.228564877460773), 'y': np.float64(8.944653957127102), 'z': np.float64(-6.093753591394289)}",2025-10-11T02:42:57.321065,WIMP-like
3.7235286684352413,4.3768,2.4135,1.8135,0.599,"{'x': np.float64(-6.360882737572022), 'y': np.float64(6.666255941552276), 'z': np.float64(4.998914137627317)}",2025-10-11T02:42:57.321065,Background
9.133747020383833,9.1049,9.831,0.9261,0.4264,"{'x': np.float64(-6.195882780646162), 'y': np.float64(0.9761288339046033), 'z': np.float64(1.6200035373862836)}",2025-10-11T02:42:57.321065,WIMP-like
4.533111067826111,4.1004,4.1493,0.9882,0.4937,"{'x': np.float64(-2.140679131885661), 'y': np.float64(-0.12467732748436156), 'z': np.float64(4.9978671525154255)}",2025-10-11T02:42:57.321065,WIMP-like
9.013570204802175,8.4544,6.8787,1.2291,0.3443,"{'x': np.float64(9.559999100997143), 'y': np.float64(-0.2077577794381682), 'z': np.float64(6.610792394789819)}",2025-10-11T02:42:57.321065,WIMP-like
5.231984244870147,5.8188,5.1209,1.1363,0.5243,"{'x': np.float64(7.8059871106681165), 'y': np.float64(-8.120997720797465), 'z': np.float64(7.815337946119094)}",2025-10-11T02:42:57.321065,Axion-like
4.143652578020215,3.8853,3.212,1.2096,0.3114,"{'x': np.float64(4.838518046876992), 'y': np.float64(2.6320210102326485), 'z': np.float64(0.14988405930225568)}",2025-10-11T02:42:57.321065,Background
3.8859062105946087,3.7057,3.0092,1.2315,0.5121,"{'x': np.float64(-7.17711367646344), 'y': np.float64(0.7147499649166811), 'z': np.float64(2.9179862439920363)}",2025-10-11T02:42:57.321065,Axion-like
1.4404122842995177,1.2229,,0.8586,0.3342,"{'x': np.float64(0.28878873198384625), 'y': np.float64(2.680248482195104), 'z': np.float64(0.5566150850171603)}",2025-10-11T02:42:57.321065,Axion-like
3.379851251740728,3.3145,2.4615,1.3465,0.5058,"{'x': np.float64(-3.909748470178849), 'y': np.float64(0.4686065414455989), 'z': np.float64(-9.769082437779481)}",2025-10-11T02:42:57.321065,Axion-like
1.8038998196889553,1.7167,,1.0298,0.5275,"{'x': np.float64(7.8729595985161716), 'y': np.float64(9.00593888894685), 'z': np.float64(5.586726671867353)}",2025-10-11T02:42:57.321065,WIMP-like
2.7141118321416213,2.3501,2.0075,1.1706,0.6879,"{'x': np.float64(-6.394630298947108), 'y': np.float64(2.6481573257606215), 'z': np.float64(-2.598343818460364)}",2025-10-11T02:42:57.321065,Background
,5.1621,4.5993,1.1224,0.3822,"{'x': np.float64(0.3379803054758703), 'y': np.float64(5.0394316139741075), 'z': np.float64(8.3336181338249)}",2025-10-11T02:42:57.321065,WIMP-like
6.169350565013974,5.406,6.8086,0.794,0.5211,"{'x': np.float64(-8.448499229802275), 'y': np.float64(0.7552570566213834), 'z': np.float64(1.4146497578032537)}",2025-10-11T02:42:57.321065,Background
7.1444122455754835,7.6446,6.168,1.2394,0.4175,"{'x': np.float64(5.393084817133989), 'y': np.float64(-4.984061718216677), 'z': np.float64(5.356245707196859)}",2025-10-11T02:42:57.321065,Axion-like
3.638026047926662,4.1604,3.6194,1.1495,0.5362,"{'x': np.float64(6.776752786013638), 'y': np.float64(-5.689218023589204), 'z': np.float64(-8.916289937502766)}",2025-10-11T02:42:57.321065,Background
2.4395581708728793,2.7782,2.3506,1.1819,0.5087,"{'x': np.float64(6.405335820730375), 'y': np.float64(-6.237726926387905), 'z': np.float64(-8.220241944892507)}",2025-10-11T02:42:57.321065,Background
7.340225187549816,7.4951,4.5515,1.6467,0.6789,"{'x': np.float64(-9.768800703291527), 'y': np.float64(-3.5211367103112856), 'z': np.float64(8.860653169618018)}",2025-10-11T02:42:57.321065,Background
4.799201732233138,5.5607,4.4582,1.2473,0.6138,"{'x': np.float64(-2.9078759662655056), 'y': np.float64(6.305742657991338), 'z': np.float64(7.646662282944124)}",2025-10-11T02:42:57.321065,WIMP-like
3.878590668641538,3.8608,4.2079,0.9175,0.5816,"{'x': np.float64(-1.1270633710853222), 'y': np.float64(0.2377929995578505), 'z': np.float64(-0.8252823345723481)}",2025-10-11T02:42:57.321065,Axion-like
3.199618981766858,2.6935,2.7489,0.9799,0.4132,"{'x': np.float64(6.139053242465522), 'y': np.float64(-7.1734504926291525), 'z': np.float64(1.6523207322877482)}",2025-10-11T02:42:57.321065,Axion-like
10.887665501067643,8.9976,10.3397,0.8702,0.4871,"{'x': np.float64(6.16769399333781), 'y': np.float64(7.631118194883758), 'z': np.float64(1.7371265972386603)}",2025-10-11T02:42:57.321065,Axion-like
,9.0121,5.5296,1.6298,0.4249,"{'x': np.float64(-4.535647466319119), 'y': np.float64(0.11170819271060672), 'z': np.float64(-1.671428081231067)}",2025-10-11T02:42:57.321065,WIMP-like
1.939930341592185,1.7415,1.5108,1.1527,0.4678,"{'x': np.float64(-4.078583551656358), 'y': np.float64(7.355933814332126), 'z': np.float64(-3.981769071572943)}",2025-10-11T02:42:57.321065,Axion-like
8.652704208195665,8.092,9.0823,0.891,0.486,"{'x': np.float64(-5.304488966028256), 'y': np.float64(0.21323343351447654), 'z': np.float64(0.5752445833842508)}",2025-10-11T02:42:57.322065,Axion-like
3.1620525062355602,3.3075,2.1135,1.5649,0.6362,"{'x': np.float64(-7.024921326925986), 'y': np.float64(-2.922019835073706), 'z': np.float64(4.08219102441384)}",2025-10-11T02:42:57.322065,Background
6.161527134075429,5.8177,4.82,1.207,0.6496,"{'x': np.float64(-9.670377743037943), 'y': np.float64(7.685977141572227), 'z': np.float64(5.62668856806715)}",2025-10-11T02:42:57.322065,WIMP-like
4.634061214816202,4.1427,3.238,1.2794,0.5189,"{'x': np.float64(4.989552850686543), 'y': np.float64(-7.67364457173382), 'z': np.float64(-4.066788134547485)}",2025-10-11T02:42:57.322065,WIMP-like
5.475338918245897,5.9643,5.9283,1.0061,0.4746,"{'x': np.float64(0.7351117147136303), 'y': np.float64(-3.086546004471158), 'z': np.float64(9.121485561948333)}",2025-10-11T02:42:57.322065,Axion-like
4.2350882714079745,4.2074,3.983,1.0563,0.6452,"{'x': np.float64(-1.8259720224888305), 'y': np.float64(-5.478465058722954), 'z': np.float64(6.666448959831651)}",2025-10-11T02:42:57.322065,WIMP-like
8.175175244117629,8.5501,8.6032,0.9938,0.5727,"{'x': np.float64(1.4755531733087839), 'y': np.float64(-3.6416761824573047), 'z': np.float64(9.57445637879989)}",2025-10-11T02:42:57.322065,WIMP-like
4.061869505786348,3.6185,4.2463,0.8522,0.3897,"{'x': np.float64(4.018001478878862), 'y': np.float64(-7.974449256829564), 'z': np.float64(-4.870462910186333)}",2025-10-11T02:42:57.322065,Axion-like
